[전체 Controller 엔드포인트 명세]
기준: src/main/java/com/springbootstudy/bbs/controller/**
형식: | URL | Method | 기능 | 매핑 클래스 |
| /api/payment/confirm-receipt | POST | 수령확인 처리 | PaymentApiController |
| /api/payment/session-info | GET | 결제 세션 정보 조회 | PaymentApiController |
| /payment/pay | GET | 결제 페이지 | PaymentPageController |
| /payment/success | GET | 결제 성공 페이지 | PaymentPageController |
| /payment/fail | GET | 결제 실패 페이지 | PaymentPageController |
| /profile/{memIdx} | GET | 회원 프로필 공개 조회 | ProfileViewController |
| /reviews/detail/{reviewIdx} | GET | 리뷰 상세 페이지 | ProfileViewController |
| /mypage/reviews | GET | 내 리뷰 목록 | ReviewController |
| /mypage/reviews/reviewWrite | GET | 리뷰 작성 페이지 | ReviewController |
| /mypage/reviews/reviewSearch | GET | 리뷰 대상 검색 | ReviewController |
| /mypage/reviews/reviewWrite | POST | 리뷰 등록 처리 | ReviewController |
| /mypage/reviews/reviewDetail | GET | 리뷰 상세 조회 | ReviewController |
| /reviewDelete | GET | 리뷰 삭제(관리) | ReviewController |
| /review/hardDelete | GET | 리뷰 영구삭제(관리) | ReviewController |
| /review/reviewCancel | GET | 리뷰 삭제 취소(관리) | ReviewController |
| /reviewAdmin | GET | 리뷰 관리자 페이지 | ReviewController |
| /error | REQUEST | 커스텀 오류 페이지 라우팅 | ErrorPageController |
| /app/notifications/ping (client send), /topic/notifications/{memIdx} (subscribe) | STOMP | 알림 채널 연결 체크/ACK 브로드캐스트 | NotificationWebSocketController |
| /app/chat/send (client send), /topic/chatroom/{chatroomIdx} (subscribe) | STOMP | 실시간 채팅 메시지 송수신 | WebSocketChatController |

참고
- STOMP prefix는 WebSocketConfig 기준: application destination '/app', broker '/topic'.
- Endpoint는 코드 기준으로 작성했으며, 일부 REQUEST 매핑은 HTTP method를 특정하지 않음.
